ID,lat,long
1309,57.5,87.5
1310,55,87.5
1311,52.5,87.5
1312,50,87.5
1313,47.5,87.5
1314,45,87.5
1315,42.5,87.5
1316,40,87.5
1317,37.5,87.5
1318,35,87.5
1319,32.5,87.5
1320,30,87.5
1321,27.5,87.5
1322,25,87.5
1323,22.5,87.5
1324,20,87.5
1325,17.5,87.5
1326,15,87.5
1327,12.5,87.5
1328,10,87.5
1329,7.5,87.5
1330,5,87.5
1331,2.5,87.5
1332,0,87.5
1333,90,90
1334,87.5,90
1335,85,90
1336,82.5,90
1337,80,90
1338,77.5,90
1339,75,90
1340,72.5,90
1341,70,90
1342,67.5,90
1343,65,90
1344,62.5,90
1345,60,90
1346,57.5,90
1347,55,90
1348,52.5,90
1349,50,90
1350,47.5,90
1351,45,90
1352,42.5,90
1353,40,90
1354,37.5,90
1355,35,90
1356,32.5,90
1357,30,90
1358,27.5,90
1359,25,90
1360,22.5,90
1361,20,90
1362,17.5,90
1363,15,90
1364,12.5,90
1365,10,90
1366,7.5,90
1367,5,90
1368,2.5,90
1369,0,90
1370,90,92.5
1371,87.5,92.5
1372,85,92.5
1373,82.5,92.5
1374,80,92.5
1375,77.5,92.5
1376,75,92.5
1377,72.5,92.5
1378,70,92.5
1379,67.5,92.5
1380,65,92.5
1381,62.5,92.5
1382,60,92.5
1383,57.5,92.5
1384,55,92.5
1385,52.5,92.5
1386,50,92.5
1387,47.5,92.5
1388,45,92.5
1389,42.5,92.5
1390,40,92.5
1391,37.5,92.5
1392,35,92.5
1393,32.5,92.5
1394,30,92.5
1395,27.5,92.5
1396,25,92.5
1397,22.5,92.5
1398,20,92.5
1399,17.5,92.5
1400,15,92.5
1401,12.5,92.5
1402,10,92.5
1403,7.5,92.5
1404,5,92.5
1405,2.5,92.5
1406,0,92.5
1407,90,95
1408,87.5,95
1409,85,95
1410,82.5,95
1411,80,95
1412,77.5,95
1413,75,95
1414,72.5,95
1415,70,95
1416,67.5,95
1417,65,95
1418,62.5,95
1419,60,95
1420,57.5,95
1421,55,95
1422,52.5,95
1423,50,95
1424,47.5,95
1425,45,95
1426,42.5,95
1427,40,95
1428,37.5,95
1429,35,95
1430,32.5,95
1431,30,95
1432,27.5,95
1433,25,95
1434,22.5,95
1435,20,95
1436,17.5,95
1437,15,95
1438,12.5,95
1439,10,95
1440,7.5,95
1441,5,95
1442,2.5,95
1443,0,95
1444,90,97.5
1445,87.5,97.5
1446,85,97.5
1447,82.5,97.5
1448,80,97.5
1449,77.5,97.5
1450,75,97.5
1451,72.5,97.5
1452,70,97.5
1453,67.5,97.5
1454,65,97.5
1455,62.5,97.5
1456,60,97.5
1457,57.5,97.5
1458,55,97.5
1459,52.5,97.5
1460,50,97.5
1461,47.5,97.5
1462,45,97.5
1463,42.5,97.5
1464,40,97.5
1465,37.5,97.5
1466,35,97.5
1467,32.5,97.5
1468,30,97.5
1469,27.5,97.5
1470,25,97.5
1471,22.5,97.5
1472,20,97.5
1473,17.5,97.5
1474,15,97.5
1475,12.5,97.5
1476,10,97.5
1477,7.5,97.5
1478,5,97.5
1479,2.5,97.5
1480,0,97.5
1481,90,100
1482,87.5,100
1483,85,100
1484,82.5,100
1485,80,100
1486,77.5,100
1487,75,100
1488,72.5,100
1489,70,100
1490,67.5,100
1491,65,100
1492,62.5,100
1493,60,100
1494,57.5,100
1495,55,100
1496,52.5,100
1497,50,100
1498,47.5,100
1499,45,100
1500,42.5,100
1501,40,100
1502,37.5,100
1503,35,100
1504,32.5,100
1505,30,100
1506,27.5,100
1507,25,100
1508,22.5,100
1509,20,100
1510,17.5,100
1511,15,100
1512,12.5,100
1513,10,100
1514,7.5,100
1515,5,100
1516,2.5,100
1517,0,100
1518,90,102.5
1519,87.5,102.5
1520,85,102.5
1521,82.5,102.5
1522,80,102.5
1523,77.5,102.5
1524,75,102.5
1525,72.5,102.5
1526,70,102.5
1527,67.5,102.5
1528,65,102.5
1529,62.5,102.5
1530,60,102.5
1531,57.5,102.5
1532,55,102.5
1533,52.5,102.5
1534,50,102.5
1535,47.5,102.5
1536,45,102.5
1537,42.5,102.5
1538,40,102.5
1539,37.5,102.5
1540,35,102.5
1541,32.5,102.5
1542,30,102.5
1543,27.5,102.5
1544,25,102.5
1545,22.5,102.5
1546,20,102.5
1547,17.5,102.5
1548,15,102.5
1549,12.5,102.5
1550,10,102.5
1551,7.5,102.5
1552,5,102.5
1553,2.5,102.5
1554,0,102.5
1555,90,105
1556,87.5,105
1557,85,105
1558,82.5,105
1559,80,105
1560,77.5,105
1561,75,105
1562,72.5,105
1563,70,105
1564,67.5,105
1565,65,105
1566,62.5,105
1567,60,105
1568,57.5,105
1569,55,105
1570,52.5,105
1571,50,105
1572,47.5,105
1573,45,105
1574,42.5,105
1575,40,105
1576,37.5,105
1577,35,105
1578,32.5,105
1579,30,105
1580,27.5,105
1581,25,105
1582,22.5,105
1583,20,105
1584,17.5,105
1585,15,105
1586,12.5,105
1587,10,105
1588,7.5,105
1589,5,105
1590,2.5,105
1591,0,105
1592,90,107.5
1593,87.5,107.5
1594,85,107.5
1595,82.5,107.5
1596,80,107.5
1597,77.5,107.5
1598,75,107.5
1599,72.5,107.5
1600,70,107.5
1601,67.5,107.5
1602,65,107.5
1603,62.5,107.5
1604,60,107.5
1605,57.5,107.5
1606,55,107.5
1607,52.5,107.5
1608,50,107.5
1609,47.5,107.5
1610,45,107.5
1611,42.5,107.5
1612,40,107.5
1613,37.5,107.5
1614,35,107.5
1615,32.5,107.5
1616,30,107.5
1617,27.5,107.5
1618,25,107.5
1619,22.5,107.5
1620,20,107.5
1621,17.5,107.5
1622,15,107.5
1623,12.5,107.5
1624,10,107.5
1625,7.5,107.5
1626,5,107.5
1627,2.5,107.5
1628,0,107.5
1629,90,110
1630,87.5,110
1631,85,110
1632,82.5,110
1633,80,110
1634,77.5,110
1635,75,110
1636,72.5,110
1637,70,110
1638,67.5,110
1639,65,110
1640,62.5,110
1641,60,110
1642,57.5,110
1643,55,110
1644,52.5,110
1645,50,110
1646,47.5,110
1647,45,110
1648,42.5,110
1649,40,110
1650,37.5,110
1651,35,110
1652,32.5,110
1653,30,110
1654,27.5,110
1655,25,110
1656,22.5,110
1657,20,110
1658,17.5,110
1659,15,110
1660,12.5,110
1661,10,110
1662,7.5,110
1663,5,110
1664,2.5,110
1665,0,110
1666,90,112.5
1667,87.5,112.5
1668,85,112.5
1669,82.5,112.5
1670,80,112.5
1671,77.5,112.5
